對應客戶,預標,"加入優
選車輛",拍賣頻道,拍賣順序,"拍賣時間推估
(僅供參考)",No.,停拍,廠牌/車型,監理型式,車號,顏色,出廠年月,排氣量,排檔,燃油,傳動方式,車門數,里程數,車種,評價,"監理
資料",照片,"查定
表",全景圖,備註,場次
陳小姐,,,B,279,1420-1430,7515,,"VOLVO
V60",V60 T4,AWN-8096,白,201707,1969,手自,汽油,2WD,5,120869 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXULE&IDX=851&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXULE&IDX=851&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXULE&IDX=851&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MXULE&IDX=851&HISTORY=N&TYPE=N""}]}",車在台中拍場。 115未稅 預扣押金 KEY+1,2026/03/11
小郭先生,,,C,343,1410-1420,2063,,"HYUNDAI
VERNA",RBG-C,AQX-3907,藍,201608,1591,手自,汽油,2WD,4,130775 KM,小客車,C,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MU6Q7&IDX=388&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MU6Q7&IDX=388&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MU6Q7&IDX=388&HISTORY=N&TYPE=N""}]}",,車在林口拍場。 停駛 無發票 限過個人名,2026/03/11
小郭先生,,,C,367,1430-1440,2089,,"HYUNDAI
ELANTRA",ELANTRA,AXP-2287,藍,201601,1797,手自,汽油,2WD,4,140984 KM,小客車,C,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MUZ3X&IDX=412&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MUZ3X&IDX=412&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MUZ3X&IDX=412&HISTORY=N&TYPE=N""}]}",,車在林口拍場。動保 停駛 無發票 限過個人名 預扣押金 需回傳過戶書,2026/03/11
小郭先生,,,C,259,1320-1330,2315,,"HYUNDAI
STAREX",STAREX,BAJ-7861,銀,201609,2497,手自,柴油,2WD,5,186892 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXRXM&IDX=447&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXRXM&IDX=447&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXRXM&IDX=447&HISTORY=N&TYPE=N""}]}",,車在桃園拍場。 115未稅 預扣押金 取件7日內過戶 驗車過期拍定自理,2026/03/11
小郭先生,,,C,284,1330-1340,2342,,"HYUNDAI
IX35",IX35,AMZ-0819,黑,201507,1995,手自,柴油,2WD,5,179842 KM,小客貨,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXR6K&IDX=472&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXR6K&IDX=472&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXR6K&IDX=472&HISTORY=N&TYPE=N""}]}",,車在桃園拍場。 停駛 無發票 限過個人名 預扣押金 需回傳過戶書,2026/03/11
小郭先生,,,C,414,1450-1500,3227,,"HYUNDAI
ELANTRA",ELANTRA,CAM-0537,黑,201702,1797,手自,汽油,2WD,4,139748 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MW53G&IDX=691&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MW53G&IDX=691&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MW53G&IDX=691&HISTORY=N&TYPE=N""}]}",,不在庫。 停駛 無發票 限過個人名 車輛所在地:桃園,2026/03/11
擴大機劉先生,,,A,38,1200-1210,138,,"LEXUS
ES250",ES250,AKM-8939,灰,201502,2494,手自,汽油,2WD,4,309639 KM,小客車,C,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MD2X5&IDX=37&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MD2X5&IDX=37&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MD2X5&IDX=37&HISTORY=N&TYPE=N""}]}",,車在三民路。欠稅費約13032 違牌金額約870,2026/03/11
擴大機劉先生,,,B,48,1150-1200,817,,"LEXUS
RX270",RX270,AKK-8038,棕,201412,2672,手自,汽油,2WD,5,145116 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MRMWN&IDX=150&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MRMWN&IDX=150&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MRMWN&IDX=150&HISTORY=N&TYPE=N""}]}",,車在高雄拍場。欠稅費約0 逾檢註銷(115.07.16後可重領),2026/03/11
擴大機劉先生,,,A,233,1400-1410,1003,,"LEXUS
NX200",LEXUS NX200,BJW-8552,黑,202009,1987,手自,汽油,2WD,5,79948 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MX9X9&IDX=199&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MX9X9&IDX=199&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MX9X9&IDX=199&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MX9X9&IDX=199&HISTORY=N&TYPE=N""}]}",車在林口拍場。 停駛 附發票 需回傳過戶書表 key+1,2026/03/11
擴大機劉先生,,,A,246,1410-1420,1016,,"LEXUS
RX450H",LEXUS RX450H,BQY-8556,灰,201208,3456,手自,油電,4WD,5,140260 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MX738&IDX=212&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MX738&IDX=212&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MX738&IDX=212&HISTORY=N&TYPE=N""}]}",,車在林口拍場。 115未稅 無發票 限過個人名 預扣押金 拍定轉停駛 拍定方需補停駛前2個月稅金 取件7日內完成過戶 逾期自理 2025年1月里程約12萬原廠更換大電瓶,2026/03/11
