拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/05,詳見網頁版,AUDI A3,A3 TFSI,轎式HID頭燈,手自,2011.03,1798,汽油,銀,2WD,5,B,C,209137 KM,保證,88000,0,0,0
2025/11/05,詳見網頁版,AUDI A4,A4 1.8T,轎式HID頭燈,手自,2013.08,1798,汽油,灰,2WD,4,A,C,92746 KM,保證,140000,0,0,0
2025/11/05,詳見網頁版,AUDI Q2,Q2 35 TFSI,旅行式LED頭燈,手自,2018.08,1395,汽油,白,2WD,5,A,B,142712 KM,保證,312000,0,0,0
2025/11/07,詳見網頁版,AUDI A4,A4 AVANT 2.0T,旅行式HID頭燈,手自,2012.08,1984,汽油,白,2WD,5,A,B,251092 KM,不保證,50000,0,0,0
2025/11/07,詳見網頁版,AUDI S5,S5,轎式HID頭燈,手自,2010.08,4163,汽油,白黑,4WD,2,C,C,109914 KM,保證,100000,0,0,0
2025/11/07,詳見網頁版,AUDI TT,TT,轎式HID頭燈,手自,2010.03,1984,汽油,白,4WD,3,B+,B,114147 KM,保證,382000,0,0,0
2025/11/07,詳見網頁版,AUDI Q5,Q5 45 TFSI QUATTRO,旅行式娛樂顯示LED頭燈,手自,2018.09,1984,汽油,黑,4WD,5,B,B,117859 KM,保證,515000,0,0,0
2025/11/12,詳見網頁版,AUDI A3,A335TFSI,轎式HID頭燈,手自,2016.04,1395,汽油,白,2WD,4,B,C,182560 KM,不保證,133000,0,0,0
2025/11/12,詳見網頁版,AUDI A3,A3 40 TFSI,轎式HID頭燈,手自,2014.06,1798,汽油,灰,2WD,4,A,C,157877 KM,保證,51000,0,0,0
2025/11/12,詳見網頁版,AUDI Q2,Q2 35 TFSI,旅行式LED頭燈娛樂顯示,手自,2020.07,1395,汽油,白,2WD,5,A,B,91530 KM,保證,446000,0,0,600
2025/11/14,詳見網頁版,AUDI A4,A4 1.8T,轎式HID頭燈,手自,2012.05,1798,汽油,白,2WD,4,C,C,201013 KM,保證,65000,0,0,0
2025/11/14,詳見網頁版,AUDI A4,A4 30 TFSI,旅行式娛樂顯示LED頭燈,手自,2016.08,1395,汽油,白,2WD,5,A,B,174404 KM,保證,420000,0,0,0
2025/11/14,詳見網頁版,AUDI A4,A4 AVANT 2.0T,旅行式HID頭燈,手自,2011.02,1984,汽油,深灰,2WD,5,B,C,156085 KM,保證,73000,0,0,0
2025/11/19,詳見網頁版,AUDI Q5,Q5 45 TFSI QUATTRO,旅行式LED頭燈娛樂顯示,手自,2019.05,1984,汽油,黑,4WD,5,A,B,157083 KM,保證,548000,0,0,0
2025/11/19,詳見網頁版,AUDI A4,A4 35 TFSI,旅行式HID頭燈,手自,2014.07,1798,汽油,白,2WD,5,A,C,147053 KM,保證,230000,0,0,0
2025/11/21,詳見網頁版,AUDI A1,AL 30 TFSI,轎式LED頭燈,手自,2020.02,999,汽油,淺黃黑,2WD,5,B,B,72917 KM,保證,460000,0,0,0
2025/11/26,詳見網頁版,AUDI A3,A3 1.4T,轎式HID頭燈,手自,2013.10,1395,汽油,白,2WD,5,C,C,277143 KM,不保證,24000,14240,9600,0
2025/11/26,詳見網頁版,AUDI A6,A6 2 . OT,轎式HID頭燈,手自,2013.05,1984,汽油,白,2WD,4,A,B,132275 KM,保證,163000,0,0,0
2025/11/26,詳見網頁版,AUDI A6,A6 35 TFSI,旅行式HID頭燈,手自,2015.05,1798,汽油,白,2WD,5,A,B,159068 KM,保證,382000,0,0,0
2025/11/26,詳見網頁版,AUDI A3,A3 1.4T,轎式HID頭燈,手自,2014.01,1395,汽油,白,2WD,4,A,B,197334 KM,保證,134000,0,0,0
2025/11/26,詳見網頁版,AUDI A3,A3 SPORTBACK 30 TFSI,轎式LED頭燈娛樂顯示,手自,2021.03,999,油電,白,2WD,5,A,B,96582 KM,保證,580000,0,0,0
2025/11/26,詳見網頁版,AUDI A1,A1,轎式HID頭燈,手自,2012.04,1390,汽油,白,2WD,3,B,C,131636 KM,保證,110000,0,0,0
2025/11/26,詳見網頁版,AUDI A4,A4 40 TFSI,轎式娛樂顯示LED頭燈,手自,2016.05,1984,汽油,深藍,2WD,4,A,B,68351 KM,保證,426000,0,0,0
2025/11/28,詳見網頁版,AUDI A4,A4 1.8 TFSI,轎式HID頭燈,手自,2008.07,1798,汽油,灰,2WD,4,N,C,999999 KM,不保證,15000,8586,6493,39500
2025/11/28,詳見網頁版,AUDI Q5,Q540TFSLQUATTRO,旅行式HID頭燈,手自,2015.11,1984,汽油,灰,4WD,5,B+,B,125450 KM,保證,242000,0,0,0
2025/12/03,詳見網頁版,AUDI A4,A4 AVANT 1.8T,旅行式HID頭燈,手自,2014.03,1798,汽油,灰,2WD,5,A,C,241715 KM,不保證,42000,0,4800,0
2025/12/03,詳見網頁版,AUDI Q7,Q7 3 . 0 TDI QUATTRO,廂式HID頭燈,手自,2007.01,2967,柴油,深灰,4WD,5,A,C,240192 KM,保證,53000,0,0,0
2025/12/03,詳見網頁版,AUDI A1,A1,轎式,手自,2014.10,1390,汽油,黑,2WD,3,B,C,191272 KM,保證,72000,0,0,0
2025/12/03,詳見網頁版,AUDI A3,A330TFSI,轎式HID頭燈,手自,2016.04,1395,汽油,白,2WD,5,B+,C,152520 KM,保證,175000,0,0,0
2025/12/03,詳見網頁版,AUDI Q5,Q5 2.0T QUATTRO,旅行式HID頭燈置放架,手自,2011.07,1984,汽油,銀,4WD,5,A,C,238579 KM,保證,100000,0,0,0
2025/12/03,詳見網頁版,AUDI A3,A3 35 TFSI,轎式LED頭燈,手自,2019.07,1395,汽油,白,2WD,5,B,B,132170 KM,保證,300000,0,0,0
2025/12/05,詳見網頁版,AUDI A8,A8 50 TDI QUATTRO,轎式LED頭燈,手自,2015.03,2967,柴油,黑,4WD,4,B,C,241360 KM,不保證,155000,0,4320,4800
2025/12/05,詳見網頁版,AUDI Q2,Q2 35 TFSI,旅行式LED頭燈,手自,2019.06,1395,汽油,黑,2WD,5,A,B,26550 KM,保證,441000,0,0,0
2025/12/05,詳見網頁版,AUDI A6,A6 2 . OT,轎式HID頭燈,手自,2014.07,1984,汽油,黑,2WD,4,A,C,126112 KM,保證,173000,0,0,0
2025/12/10,詳見網頁版,AUDI A6,A6 35 TFSI,轎式HID頭燈,手自,2015.06,1798,汽油,銀,2WD,4,C,B,73191 KM,保證,255000,0,0,0
2025/12/10,詳見網頁版,AUDI A5,A5,轎式HID頭燈,手自,2008.11,3197,汽油,黑,4WD,2,B,C,71722 KM,保證,91000,0,0,0
2025/12/12,詳見網頁版,AUDI A6,A635TFSI,轎式HID頭燈,手自,2016.07,1798,汽油,銀,2WD,4,A,B,182006 KM,保證,232000,0,0,0
2025/12/12,詳見網頁版,AUDI A4,A4 AVANT 1.8T,旅行式HID頭燈,手自,2013.02,1798,汽油,白,2WD,5,B,B,145104 KM,保證,160000,0,0,0
2025/12/17,詳見網頁版,AUDI A6,A6 2 . OT,轎式HID頭燈,手自,2012.10,1984,汽油,黑,2WD,4,A,C,150957 KM,保證,101000,0,0,0
2025/12/17,詳見網頁版,AUDI TT,TT 45 TFSI QUATTRO,轎式HID頭燈,手自,2016.05,1984,汽油,深藍,4WD,3,B,B,137108 KM,保證,579000,0,0,0
2025/12/17,詳見網頁版,AUDI A3,A3 35 TFSI,轎式HID頭燈,手自,2015.04,1395,汽油,白,2WD,5,B+,C,138408 KM,保證,215000,0,0,0
2025/12/17,詳見網頁版,AUDI Q2,Q2 35 TFSI,旅行式LED頭燈,手自,2017.07,1395,汽油,紅,2WD,5,A,C,109841 KM,保證,230000,0,0,0
