拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/05,詳見網頁版,BENZ C300,C300,轎式LED頭燈,手自,2019.01,1991,汽油,白,2WD,2,A,B,82958 KM,保證,1158000,0,0,0
2025/11/07,詳見網頁版,BENZ C300,C300,轎式LED頭燈,手自,2015.08,1991,汽油,黑,2WD,4,A,B,153415 KM,保證,530000,0,0,0
2025/11/12,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2016.09,1991,汽油,黑,2WD,4,N,C,139421 KM,不保證,440000,11230,6180,1200
2025/11/12,詳見網頁版,BENZ C300,C300,轎式LED頭燈,手自,2019.01,1991,汽油,白,2WD,4,A,C,100121 KM,不保證,690000,0,6180,4500
2025/11/12,詳見網頁版,BENZ C300,C300,轎式,手自,2015.04,1991,汽油,白,2WD,4,A,C,202409 KM,不保證,350000,0,0,6900
2025/11/12,詳見網頁版,BENZ C300,C300,轎式LED光型,手自,2015.04,1991,汽油,黑,2WD,4,B,C,202224 KM,不保證,401000,11230,6180,2700
2025/11/19,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2016.04,1991,汽油,白,4WD,4,B,C,114852 MILE,保證,609000,0,0,0
2025/11/19,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2016.02,1991,汽油,白,4WD,4,C,C,172046 KM,保證,360000,0,0,0
2025/11/19,詳見網頁版,BENZ C300,C300,轎式,手自,2015.09,1991,汽油,白,2WD,4,A,C,231878 KM,保證,387000,0,0,0
2025/11/19,詳見網頁版,BENZ C250,C250,轎式LED頭燈,手自,2016.04,1991,汽油,白,2WD,4,B,B,127822 KM,保證,570000,0,0,0
2025/11/21,詳見網頁版,BENZ C300,C300,轎式LED光型,手自,2016.01,1991,汽油,黑,2WD,4,C,C,168608 KM,不保證,390000,0,0,16200
2025/11/21,詳見網頁版,BENZ C300,C300,轎式LED光型,手自,2014.09,1991,汽油,白,4WD,4,C,C,135185 KM,保證,430000,0,0,0
2025/11/21,詳見網頁版,BENZ C300,C300 4MATIC,轎式娛樂顯示LED頭燈,手自,2016.01,1991,汽油,白,4WD,4,B,C,99435 KM,保證,656000,0,0,0
2025/11/21,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2014.07,1991,汽油,黑,4WD,4,A,B,148260 KM,保證,430000,0,0,0
2025/11/21,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2015.03,1991,汽油,白,2WD,4,B,B,203487 KM,保證,505000,0,0,0
2025/11/26,詳見網頁版,BENZ C300,C300,LED頭燈轎式,手自,2015.05,1991,汽油,灰,2WD,4,N,N,131166 KM,不保證,30000,0,6180,24000
2025/11/26,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2016.04,1991,汽油,白,2WD,4,B+,C,153395 KM,保證,573000,0,0,0
2025/11/26,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2015.03,1991,汽油,黑,4WD,4,A,C,219551 KM,保證,336000,0,0,0
2025/11/26,詳見網頁版,BENZ C250,C250,轎式LED頭燈,手自,2014.09,1991,汽油,銀,2WD,4,A,C,94187 KM,保證,508000,0,0,0
2025/11/26,詳見網頁版,BENZ C250,C250,轎式LED頭燈,手自,2016.05,1991,汽油,白,2WD,4,A,C,101303 KM,保證,510000,0,0,0
2025/11/28,詳見網頁版,BENZ C300,C300,轎式娛樂顯示LED頭燈,手自,2014.09,1991,汽油,黑,2WD,4,N,C,9999999 KM,不保證,214000,0,0,0
2025/11/28,詳見網頁版,BENZ C300,C300,轎式,手自,2015.05,1991,汽油,黑,2WD,4,A,B,137456 KM,保證,398000,0,0,0
2025/12/03,詳見網頁版,BENZ C200,C200,轎式LED頭燈,手自,2017.12,1991,汽油,深藍,2WD,4,N,C,9999999 KM,不保證,142000,0,0,168700
2025/12/03,詳見網頁版,BENZ C200,C200,轎式LED頭燈,手自,2015.01,1991,汽油,深灰,2WD,4,C,C,278497 KM,保證,265000,0,0,0
2025/12/03,詳見網頁版,BENZ C300,C 300,轎式娛樂顯示LED頭燈,手自,2015.06,1991,汽油,黑,2WD,4,B,C,154556 KM,保證,501000,0,0,0
2025/12/03,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2015.07,1991,汽油,灰,2WD,4,B+,C,119245 KM,保證,524000,0,0,0
2025/12/05,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2015.12,1991,汽油,白,4WD,4,B,C,204754 KM,不保證,432000,0,6180,2100
2025/12/05,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2016.02,1991,汽油,白,4WD,4,C,C,172104 KM,保證,440000,0,0,0
