拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/05,,BMW 316,316I SEDAN ZA,轎式HID頭燈,手自,2013.06,1598,汽油,黑,2WD,4,B+,B,161737 KM,保證,191000,0,0,0
2025/11/05,,BMW 328,328I,轎式,手自,2013.05,1997,汽油,黑,2WD,4,B,C,374412 KM,保證,95000,0,0,0
2025/11/07,,BMW 320,320I SEDAN ZA,轎式HID頭燈,手自,2015.06,1997,汽油,藍,2WD,4,A,C,999999 KM,不保證,241000,11230,6180,0
2025/11/07,,BMW 320,320I SEDAN ZA,轎式LED頭燈,手自,2016.10,1998,汽油,白,2WD,4,A,B,109038 KM,保證,500000,0,0,0
2025/11/12,,BMW 318,318I SEDAN,轎式娛樂顯示LED頭燈,手自,2020.10,1998,汽油,白,2WD,4,B+,B,90589 KM,不保證,660000,33690,18540,0
2025/11/12,,BMW 316,316I SEDAN,轎式HID頭燈,手自,2013.03,1598,汽油,銀,2WD,4,C,B,164801 KM,保證,166000,0,0,0
2025/11/12,,BMW 328,328I XDRIVE,轎式HID頭燈娛樂顯示,手自,2013.05,1997,汽油,黑,4WD,4,A,B,232509 KM,保證,276000,0,0,0
2025/11/12,,BMW 320,320I SEDAN ZA,轎式LED頭燈,手自,2016.06,1998,汽油,黑,2WD,4,A,B,175887 KM,保證,326000,0,0,0
2025/11/12,,BMW 320,320I SEDAN ZA,轎式LED頭燈,手自,2015.09,1998,汽油,藍,2WD,4,A,B,119305 KM,保證,240000,0,0,0
2025/11/12,,BMW 318,318I SEDAN,轎式娛樂顯示LED頭燈,手自,2020.10,1998,汽油,白,2WD,4,A,B,65066 KM,不保證,750000,0,0,0
2025/11/12,,BMW 328GT,328I GRAN TURISMO,轎式娛樂顯示HID頭燈,手自,2015.07,1997,汽油,白,2WD,5,A,B,131125 KM,保證,372000,0,0,0
2025/11/12,,BMW 318,318I SEDAN,轎式娛樂顯示LED頭燈,手自,2018.09,1499,汽油,白,2WD,4,B,B,69777 KM,保證,410000,0,0,0
2025/11/14,,BMW 318D,318D SEDAN,轎式HID頭燈,手自,2012.06,1995,柴油,白,2WD,4,N,C,9999999 KM,不保證,81000,11230,3708,16500
2025/11/14,,BMW 320I,320I SEDAN ZA,轎式娛樂顯示LED頭燈,手自,2017.05,1998,汽油,白黑,2WD,4,A,B,119567 KM,不保證,497000,5599,3089,0
2025/11/19,,BMW 335I,335I COUPE,轎式HID頭燈,手自,2008.01,2979,汽油,灰,2WD,2,B,C,147043 KM,保證,102000,0,0,0
2025/11/21,,BMW 335I,335ICONVERTIBLE,轎式硬頂敞篷式HID頭燈,手自,2010.03,2979,汽油,白,2WD,2,A,B,999999 KM,不保證,283000,0,7200,1000
2025/11/21,,BMW 328,328I,轎式HID頭燈,手自,2014.04,1997,汽油,白,2WD,4,C,C,9999999 KM,不保證,151000,0,6180,1100
2025/11/21,,BMW 316,316I SEDAN ZA,轎式HID頭燈,手自,2013.08,1598,汽油,白,2WD,4,B,C,182784 KM,不保證,132000,0,0,0
2025/11/21,,BMW 316,316I SEDAN ZA,轎式HID頭燈,手自,2013.06,1598,汽油,灰,2WD,4,B,B,221031 KM,保證,135000,0,0,0
2025/11/21,,BMW 325,325I,轎式HID頭燈娛樂顯示,手自,2008.04,2497,汽油,黑,2WD,4,B,C,143907 KM,保證,34000,0,0,0
2025/11/21,,BMW 320GT,320I GRAN TURISMO,轎式HID頭燈,手自,2013.04,1997,汽油,白,2WD,5,B+,C,148383 KM,保證,256000,0,0,0
2025/11/26,,BMW 328,328 I,轎式,手自,2013.02,1997,汽油,灰,2WD,4,A,B,156911 KM,不保證,139000,33690,18540,139700
2025/11/26,,BMW 320,320I SEDAN ZA,轎式LED頭燈,手自,2016.04,1998,汽油,白,2WD,4,A,B,54625 KM,保證,540000,0,0,0
2025/11/26,,BMW 323,323I SEDAN ZA,轎式HID頭燈,手自,2006.11,2497,汽油,白,2WD,4,B+,C,174076 KM,保證,56000,0,0,0
2025/11/26,,BMW 320GT,320I GRAN TURISMO,轎式HID頭燈,手自,2015.04,1997,汽油,灰,2WD,5,A,B,87986 KM,保證,330000,0,0,0
