拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/14,詳見網頁版,HONDA CR-V,CR-V2.0VTI-S,旅行式,自,2010.04,1997,汽油,白,2WD,5,B+,B,194101 KM,保證,105000,0,0,0
2025/11/28,詳見網頁版,HONDA CR-V,CR-V-GX-2.0L,旅行式,自,2007.05,1997,汽油,深紫,2WD,5,B+,C,215220 KM,保證,44000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-VGX2.OL,旅行式,自,2009.07,1997,汽油,白,2WD,5,A,C,224943 KM,保證,92000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V-SX-2.0L,旅行式,自,2007.01,1997,汽油,深灰,2WD,5,B,C,192701 KM,保證,50000,0,0,0
2025/12/12,詳見網頁版,HONDA CR-V,CR-V2.0VTI,旅行式,自,2010.06,1997,汽油,白,2WD,5,C,B,247426 KM,保證,80000,0,0,0
2025/12/17,詳見網頁版,HONDA CR-V,CR-V-SX-2.0L,旅行式,自,2008.07,1997,汽油,黑,2WD,5,A,C,237653 KM,保證,55000,0,0,0
2025/12/17,詳見網頁版,HONDA CR-V,CR-V2.0VTI-S,旅行式,自,2010.12,1997,汽油,白,2WD,5,B+,B,170402 KM,保證,109000,0,0,0
2025/12/26,詳見網頁版,HONDA CR-V,CR-VGX2.0L,旅行式,自,2009.12,1997,汽油,銀,2WD,5,A,C,145630 KM,保證,80000,0,0,0
2025/12/31,詳見網頁版,HONDA CR-V,CR-V-SX-2.0L,旅行式,自,2007.06,1997,汽油,深灰,2WD,5,A,C,182920 KM,保證,55000,0,0,0
2026/01/07,詳見網頁版,HONDA CR-V,CR-V-SX-2.0L,旅行式,自,2008.06,1997,汽油,白,2WD,5,C,C,241522 KM,保證,61000,0,0,0
2026/01/07,詳見網頁版,HONDA CR-V,CR-V-GX-2.0L,旅行式,自,2007.10,1997,汽油,白,2WD,5,B,B,105524 KM,保證,55000,0,0,0
2026/01/09,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2011.07,1997,汽油,黑,2WD,5,C,C,190900 KM,保證,65000,0,0,0
2026/01/16,詳見網頁版,HONDA CR-V,CR-V2.OVTI-S,旅行式,手自,2011.10,1997,汽油,白,2WD,5,A,C,147233 KM,保證,110000,0,0,0
2026/01/21,詳見網頁版,HONDA CR-V,CR-VSX2.0L,旅行式,自,2009.10,1997,汽油,白,2WD,5,B,C,222447 KM,保證,58000,0,0,0
2026/01/28,詳見網頁版,HONDA CR-V,CR-V2.OVTI-S,旅行式,自,2011.03,1997,汽油,深灰,2WD,5,B,B,70921 KM,保證,116000,0,0,0
2026/02/27,詳見網頁版,HONDA CR-V,CR-VSX2.0L,旅行式,自,2009.12,1997,汽油,白,2WD,5,A,C,100219 KM,保證,90000,0,0,0
