拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/12,詳見網頁版,HONDA CR-V,CR-V EX-S-2.4L,旅行式HID頭燈,自,2007.09,2354,汽油,深灰,2WD,5,A,B,191233 KM,保證,90000,0,0,0
2025/11/12,詳見網頁版,HONDA CR-V,CR-VEX-S2.4L,旅行式HID頭燈,自,2009.01,2354,汽油,白,4WD,5,C,B,155865 KM,保證,98000,0,0,0
2025/11/21,詳見網頁版,HONDA CR-V,CR-VEX-S2.4L,旅行式HID頭燈,自,2009.06,2354,汽油,黑,4WD,5,B+,B,196858 KM,保證,100000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 2.4VTI-S,旅行式HID頭燈娛樂顯示,自,2010.02,2354,汽油,深灰,4WD,5,B+,C,191875 KM,保證,116000,0,0,0
2025/12/17,詳見網頁版,HONDA CR-V,CR-V 2.4VTI,旅行式娛樂顯示,自,2011.01,2354,汽油,深灰,2WD,5,C,C,215260 KM,保證,70000,0,0,0
2025/12/17,詳見網頁版,HONDA CR-V,CR-V2.4VTI,旅行式娛樂顯示,自,2010.11,2354,汽油,黑,2WD,5,B,C,277642 KM,保證,42000,0,0,0
2025/12/31,詳見網頁版,HONDA CR-V,CR-V2.4VTI,旅行式娛樂顯示,自,2011.04,2354,汽油,深灰,2WD,5,B,B,151285 KM,保證,144000,0,0,0
2026/01/21,詳見網頁版,HONDA CR-V,CR-V-EX-S-2.4L,旅行式HID頭燈,自,2007.05,2354,汽油,深紫,4WD,5,A,C,187352 KM,保證,65000,0,0,0
2026/01/28,詳見網頁版,HONDA CR-V,CR-V-EX-S-2.4L,旅行式HID頭燈,自,2007.11,2354,汽油,黑,4WD,5,B,C,113386 KM,保證,132000,0,0,0
2026/01/28,詳見網頁版,HONDA CR-V,CR-V 2.4VTI,旅行式娛樂顯示,自,2010.10,2354,汽油,深灰,2WD,5,B+,C,161311 KM,保證,84000,0,0,0
2026/02/04,詳見網頁版,HONDA CR-V,CR-V-EX-S-2.4L,旅行式HID頭燈,自,2007.05,2354,汽油,深紫,4WD,5,B,C,178223 KM,保證,65000,0,0,0
2026/02/25,詳見網頁版,HONDA CR-V,CR-V2.4VTI-S,旅行式HID頭燈娛樂顯示,自,2011.09,2354,汽油,白,4WD,5,A,C,127142 KM,保證,140000,0,0,0
2026/02/25,詳見網頁版,HONDA CR-V,CR-V2.4VTI,旅行式娛樂顯示,自,2011.10,2354,汽油,白,2WD,5,A,B,70230 KM,保證,166000,0,0,0
